Name                                  Stmts   Miss  Cover
---------------------------------------------------------
config/__init__.py                        0      0   100%
config/settings.py                       27      0   100%
config/urls.py                           15      1    93%
lms/__init__.py                           0      0   100%
lms/admin.py                             23      1    96%
lms/apps.py                               5      0   100%
lms/migrations/0001_initial.py            5      0   100%
lms/migrations/0002_initial.py            7      0   100%
lms/migrations/0003_subscription.py       6      0   100%
lms/migrations/__init__.py                0      0   100%
lms/models.py                            38      3    92%
lms/paginators.py                         9      0   100%
lms/serializers.py                       26      1    96%
lms/tests.py                            101      0   100%
lms/urls.py                               3      0   100%
lms/validators.py                        14      5    64%
lms/views.py                             80      8    90%
manage.py                                11      2    82%
users/__init__.py                         0      0   100%
users/admin.py                           19      0   100%
users/apps.py                             5      0   100%
users/migrations/0001_initial.py          8      0   100%
users/migrations/__init__.py              0      0   100%
users/models.py                          54     15    72%
users/permissions.py                     31      7    77%
users/serializers.py                     28      3    89%
users/urls.py                             2      2     0%
users/views.py                           48     26    46%
---------------------------------------------------------
TOTAL                                   565     74    87%
